,Coefficient
comic,1.105182286797868
horse_girl,0.9665780929181677
4koma,0.9381233386563224
speech_bubble,0.884829740841527
greyscale,0.8503808902157909
playboy_bunny,0.8423922068916533
food_focus,0.803131996974126
fake_animal_ears,0.7924621248529808
scenery,0.789672330800267
clothes_lift,0.7470004137453076
gradient_background,0.7229441558273967
covered_navel,0.7077009571982024
solo_focus,0.7025377201769019
yuri,0.6844012648592807
one-piece_swimsuit,0.6632360273561192
large_breasts,0.6588926338205731
6+girls,0.6080062236994553
multiple_views,0.6011213170680355
no_shoes,0.6009243149873631
gradient,0.586212559147964
chain,0.580348137415241
holding_cup,0.5774230882736351
bikini,0.5677680571549067
:o,0.5589309182848443
skindentation,0.5366872012307385
pokemon_\(creature\),0.5328257308764386
ass,0.5302087801669951
highleg,0.5279815817324787
cherry_blossoms,0.5269901852607698
legs,0.5102802441687125
night_sky,0.502298696104454
blue_nails,0.48056101512693045
building,0.4732502933410603
horse_ears,0.46417856945766617
curtains,0.45871334694052285
wet,0.4459648131579444
squatting,0.4436315263028433
parted_bangs,0.4400540968252607
hatsune_miku,0.43733680537203434
frilled_apron,0.4349030112132589
starry_sky,0.4346368595143231
obi,0.43359366531299787
blue_background,0.4297694407430659
standing_on_one_leg,0.4293168708462689
indoors,0.4278818852191429
puffy_short_sleeves,0.427454121752838
red_bowtie,0.4259967058212841
grass,0.4177030333618175
crossed_legs,0.4118514807765803
puffy_sleeves,0.4028561670021908
blue_jacket,0.4023740236660853
black_leotard,0.39842550421232253
cat_girl,0.3944905724381019
multiple_boys,0.39120000569345004
sheath,0.39057808260650084
cat_ears,0.3859273535941372
wings,0.3794694809304778
plaid_skirt,0.37187483897555207
moon,0.3713987967671175
3girls,0.3712394783727703
veil,0.3680050438368496
bird,0.3669768387303424
thigh_boots,0.36681218598660137
sweat,0.3657090090215021
gradient_hair,0.36433317148652433
torn_clothes,0.3557416527340668
animal_ears,0.3514532297156865
black_socks,0.3503522219715189
low_twintails,0.3495492218835811
lifted_by_self,0.3491772855334653
eating,0.34646497780133206
single_hair_bun,0.3464314913188218
:3,0.34132013173113745
armpits,0.34052178968670344
letterboxed,0.3378050734178602
swimsuit,0.3346571830530608
pelvic_curtain,0.3326147171755792
flower,0.3317447564566978
multiple_girls,0.3260987784810474
mask,0.32161411916504784
bowtie,0.32036644212942716
crown,0.31934536528456126
white_thighhighs,0.3190402028886204
chibi,0.3186024072468951
2girls,0.31840812905987725
breasts,0.31742595248812633
sideboob,0.3167775476929629
sunlight,0.3153425500801475
neck_ribbon,0.3099281679878434
v-shaped_eyebrows,0.30875039749983524
2boys,0.3063063402909571
white_socks,0.3061764685704003
dress_shirt,0.30467071118847705
white_pantyhose,0.30282494974457563
back,0.301153344823179
feet,0.29962669703837114
symbol-shaped_pupils,0.2966839674943459
star_\(symbol\),0.29560695512675994
blush,0.29379156764233294
cup,0.2929728890572726
navel,0.28820322393220454
white_gloves,0.28693362564922836
short_sleeves,0.28548335130375885
headphones,0.28400563322406447
hood_down,0.28314332169024214
halterneck,0.2829433376493259
looking_at_viewer,0.2813819888744308
one_eye_closed,0.27968995195841495
high_heels,0.27838359509293265
ground_vehicle,0.2779562361693034
fingerless_gloves,0.27266657418837753
cellphone,0.2705611958223134
hairclip,0.2705206455861454
black_nails,0.2704741026105466
sidelocks,0.2677868380692523
frills,0.2674514193344519
leaf,0.2660423521184216
twitter_username,0.26533816707229824
chair,0.26371569100581777
pink_flower,0.2625428558162631
no_humans,0.26248124881570417
frilled_dress,0.2602737528487386
leotard,0.26001468810534084
bug,0.2598142112498324
red_nails,0.25642558703733404
see-through,0.2561093174670696
bottle,0.25013506438518224
day,0.25010013324459307
pointy_ears,0.2488410748972357
two-tone_hair,0.24801370799734732
underboob,0.2465845177128955
petals,0.24547392233709653
white_bow,0.24483653019061677
butterfly,0.24467022369741062
^_^,0.24460697330101472
night,0.2398876500478321
fox_ears,0.23841281889475413
holding_weapon,0.237807806036017
book,0.23667278712982354
sash,0.2330018460264861
open_mouth,0.23092748311265124
black_shirt,0.23015529265916343
midriff,0.23001700445767473
from_behind,0.2291473676367986
japanese_clothes,0.2282968902861612
1boy,0.22787442888738463
pink_eyes,0.22667066398675706
knees_up,0.22606731995487314
vest,0.22603784325501905
maid_headdress,0.22257275785167796
black_headwear,0.2220422565984729
sweatdrop,0.2211523308619606
brown_footwear,0.21945082964956875
groin,0.219171448473792
single_braid,0.21771733255283046
loafers,0.21676187048402343
from_side,0.21672594973078044
hair_bow,0.21640023781738785
feathered_wings,0.21572617762351226
tongue,0.21471561812026785
food,0.21387242451743563
side_ponytail,0.21386575753070836
uniform,0.21360257251080222
hooded_jacket,0.21351347419067557
pantyhose,0.21350204205643186
long_sleeves,0.21300352239245227
gloves,0.21208765002891516
tail,0.21002416985841527
scrunchie,0.20903214022109468
red_bow,0.2072897367696845
chinese_clothes,0.20672090172966154
profile,0.20326360846541178
witch_hat,0.20319938254135075
single_thighhigh,0.20206597363655365
stuffed_animal,0.20134713717732342
rose,0.20083798939523562
black_sailor_collar,0.2006053437573237
:d,0.20005444322111557
panties,0.1996105296412072
double_bun,0.19796760153014187
capelet,0.19710274813889506
boots,0.19659805879624026
fur_trim,0.19655234302030825
cat,0.19543498840025778
collared_shirt,0.19476351960092933
white_dress,0.19454294711019873
black_gloves,0.19436065588942472
thighs,0.19360934791388795
sunglasses,0.19249604824266223
couch,0.19231688237110273
bow,0.19167152231436013
blue_bow,0.1912508132139083
tree,0.1874698191646169
kneehighs,0.1859029964838352
blue_ribbon,0.18550752397422515
yellow_eyes,0.18475158336777872
hair_bun,0.18471116866416815
bandages,0.18434484819986877
striped,0.18289907019120571
aqua_eyes,0.18158523304347066
open_jacket,0.181365198974537
blue_skirt,0.17895990706173867
plaid,0.17832067293133005
cowboy_shot,0.17806504254085254
soles,0.17733412222167447
weapon,0.17721544803867123
beret,0.17670660470396024
ponytail,0.1766308621235072
lying,0.1726915261712489
braid,0.1719845788572491
hair_flower,0.17153466398072356
multicolored_hair,0.1712206064498376
off_shoulder,0.17107196128794033
tongue_out,0.1699161330736739
thigh_strap,0.16896410792939812
black_thighhighs,0.16878457772548452
elbow_gloves,0.1679618622731796
pink_bow,0.16765287350875127
kimono,0.16599193717205613
blurry_background,0.1656560521144849
teeth,0.16564405717413558
suit,0.16509125049577758
window,0.16410129526931175
fox_girl,0.16216120199074258
depth_of_field,0.16131070009354798
collarbone,0.15714138820348592
cat_tail,0.15711999204412158
english_text,0.15539805162746423
own_hands_together,0.15536900715908056
red_dress,0.15484602628410624
school_uniform,0.15480803016726372
standing,0.15202141239394132
stomach,0.151567923820551
rabbit_ears,0.1508241047049576
wariza,0.15076536346032765
stuffed_toy,0.15065477599760865
black_choker,0.14915406614358118
medium_hair,0.14912487459241125
grey_hair,0.14909349147956258
blazer,0.1479625221588128
clothing_cutout,0.14536806823323323
aqua_hair,0.1426334126105638
bracelet,0.14228058366319993
looking_at_another,0.14182636101222953
ocean,0.1409300870278033
plant,0.1403157409805988
arm_up,0.13999458438711548
detached_collar,0.13949054853486467
table,0.1385248903168895
simple_background,0.13737335468694026
very_long_hair,0.13672976446303353
black_bow,0.1354066758015458
katana,0.1346467500140732
halo,0.1341341787489393
tears,0.1335204332260198
on_bed,0.13325320659895953
animal,0.13251765015229433
cloudy_sky,0.13244056659622344
water,0.1312626235196035
nail_polish,0.13100969204340854
bandaid,0.13041052652532212
zettai_ryouiki,0.1294282827090451
x_hair_ornament,0.12706052806705356
holding_hands,0.12610682915585242
grey_background,0.1257536241703939
short_shorts,0.1250846408604005
sitting,0.1250619903613009
collar,0.12375801547705015
gun,0.1228502214088427
black_pants,0.12240837365775632
blunt_bangs,0.12167657535445275
arms_up,0.12133201525752858
red_skirt,0.1210150310855406
piercing,0.12017123817825448
blonde_hair,0.11984713774620957
bed_sheet,0.11967832754714755
bubble,0.11953037736019255
fingernails,0.11896066093396852
blue_flower,0.11889974461011517
bare_legs,0.11817285540725132
purple_hair,0.11633097917634518
white_skirt,0.11631652724630365
blurry,0.11603827514344618
orange_hair,0.1155267055800649
official_alternate_costume,0.11495739712277463
serafuku,0.11471184619813247
maid,0.11414580846718417
sleeveless_shirt,0.11361192607835738
horns,0.11320927113657456
twin_braids,0.1131221140059404
black_hair,0.11254041613706318
china_dress,0.11202284520854917
animal_ear_fluff,0.10943921170391843
drinking_glass,0.10934676301031566
side-tie_bikini_bottom,0.10872491526587631
white_panties,0.10860144419274133
blue_hair,0.10749412034966971
jacket,0.10714874063116316
strapless,0.1068871145893135
black_ribbon,0.1058003900343914
red_flower,0.10519192000586543
black_shorts,0.10495354882503388
coat,0.10488815514820192
black_bra,0.10406994080255491
v,0.10288157150290339
sky,0.10230272371363391
new_year,0.1010083829929031
underwear,0.10025899558461793
tassel,0.0988171765242635
reflection,0.09771268613487905
character_name,0.09749825721656616
thighhighs,0.09625133074566768
heterochromia,0.09427680479719004
dress,0.09426221814273313
white_footwear,0.09386801753605588
on_side,0.09345229945984466
ear_piercing,0.09344814583787477
blue_dress,0.09314289233269332
cleavage,0.09274670214268821
virtual_youtuber,0.09222677258862508
hair_between_eyes,0.0914445306386327
hoodie,0.09109347366410346
streaked_hair,0.09019713269821253
hairband,0.08999237010999313
one_side_up,0.08870972627760362
fox_tail,0.0884746719745605
mole,0.0884246277058544
sword,0.0876032040292106
holding_umbrella,0.08757837714253641
pink_hair,0.08593995797937251
necklace,0.08557141038087296
dark_skin,0.08520869691526549
puffy_long_sleeves,0.08497757725457997
sparkle,0.0847993228068047
pants,0.08446355892551137
green_eyes,0.08428296859633957
hood,0.08377361908030165
open_clothes,0.08355308822117635
full_body,0.08339420790992294
white_hair,0.08284506388478172
grey_eyes,0.08216025649906979
black_pantyhose,0.08158305939240199
detached_sleeves,0.08024027073779816
orange_eyes,0.07994082620026007
cardigan,0.07969468451843802
blue_sky,0.0792708748194859
shorts,0.07916742454497266
bangs,0.07853669279695259
fang,0.07848477766534989
long_hair,0.07811347615237528
sandals,0.07810076896167124
black_skirt,0.07772737730829628
ahoge,0.07752074891717493
hair_ribbon,0.07587084611916588
black_eyes,0.0758467087317107
cape,0.07491376025489832
star_\(sky\),0.07442865221153055
necktie,0.07383812601375865
crop_top,0.07345469672496213
upper_body,0.07248298984373773
bra,0.07215592612034336
blue_eyes,0.0721171414295583
hug,0.07139337713285417
bare_arms,0.07119814868651461
socks,0.07060689813973489
smile,0.07055655867988916
shoes,0.0705138236656983
bell,0.0682137427591061
white_bikini,0.06820060259136725
short_hair,0.06716111086032321
sleeves_past_wrists,0.0669878732691386
ribbon,0.06646954323262681
miniskirt,0.06619768045925775
closed_mouth,0.06604747098130971
floral_print,0.06496507598217446
grin,0.06451137014103445
alternate_costume,0.06306989338704419
hair_scrunchie,0.06290813227089607
sleeveless_dress,0.06278229034043956
black_bikini,0.06264692458732628
black_jacket,0.06230510289176247
toes,0.06131348920249951
smartphone,0.059570399743088115
white_flower,0.058782151723073814
mouth_hold,0.058219693846529044
blood,0.05819586949693339
belt,0.056424019069840015
outdoors,0.056000032923489665
small_breasts,0.053239353774771556
pillow,0.05307108605945473
plate,0.05286980757275967
armor,0.05142510968000615
artist_name,0.05004119715266847
dark-skinned_female,0.04971913834951562
hair_over_one_eye,0.049627469124012405
glasses,0.04927610899512862
on_back,0.04842648826619533
red_ribbon,0.048096835713737046
choker,0.04762867235557699
hands_up,0.047616737148445505
black_dress,0.047341963807723
hand_up,0.047285404532692005
sleeveless,0.04612531846768605
hair_ornament,0.04584324964735405
white_background,0.045762061498098014
jewelry,0.04401228205409895
neckerchief,0.043329256197569554
hair_intakes,0.043125965226804626
white_jacket,0.04266445095144875
pleated_skirt,0.04265382598714123
formal,0.042473567717495005
black_background,0.04244570178688999
beach,0.04186818262853529
shirt,0.039399813129710706
brown_eyes,0.03924540948340535
garter_straps,0.03907802224449468
white_apron,0.03905627217357383
parted_lips,0.0387523780383891
fruit,0.035221841593036485
1girl,0.03476950403279552
shiny,0.03400131597496453
holding,0.03364470902195503
red_hair,0.03201092922289773
hat,0.03173729586042914
bag,0.031594813000045914
sailor_collar,0.031096498658931007
floating_hair,0.030768395719949753
leaning_forward,0.028856788142306977
4girls,0.028227843665302663
ascot,0.027853373420436704
signature,0.027460759786945843
tattoo,0.02726859751163559
mole_under_eye,0.02618244820249669
feet_out_of_frame,0.02415186922233993
medium_breasts,0.023922880224474617
hand_on_hip,0.023418922494047423
bare_shoulders,0.021453665311369656
ring,0.020371539337093323
brown_hair,0.019562186718427698
barefoot,0.01867090965274354
umbrella,0.017978376148792295
cloud,0.01793737340851933
black_panties,0.016393032397343466
wrist_cuffs,0.015796076012528002
black_hairband,0.015587044345828872
maid_apron,0.015527767854115537
male_focus,0.014756239452223931
apron,0.014219964143763444
black_footwear,0.01338721852894917
monochrome,0.012787624298344404
solo,0.012685410786460282
phone,0.012182095532082774
purple_eyes,0.011421541801040883
head_tilt,0.011247602982095845
wide_sleeves,0.010820297944311452
earrings,0.010335021563676498
scarf,0.009989621519217218
siblings,0.009713787048631633
white_headwear,0.009037242899323781
looking_back,0.008987767836976548
holding_food,0.008338344864224826
two_side_up,0.008304162718926913
dutch_angle,0.00789628900072252
sweater,0.007808523859146877
white_shirt,0.005616788899467449
red_eyes,0.0038647038463206274
heart,0.0032500015747601472
closed_eyes,0.0027468847895747587
watermark,0.0023237930784834114
holding_sword,0.0021541825633335397
green_hair,0.0019529202293344884
skirt,0.0011330749970338385
twintails,0.0008107841402566322
facial_mark,0.0001405833440912595
